NO,NO_2
3.2188758248682006,62
4.1588830833596715,76
3.58351893845611,44
2.6390573296152584,73
2.3978952727983707,57
1.6094379124341003,22
1.6094379124341003,22
2.70805020110221,62
1.6094379124341003,15
2.70805020110221,57
1.9459101490553132,43
