track,artist,danceability,energy,valence,tempo,previously_heard,liked
"Work Hard, Play Hard",Wiz Khalifa,0.787,0.6659999999999999,0.485,140.00799999999998,Haven't Heard,Like
Love The Way You Lie,Eminem Featuring Rihanna,0.7490000000000001,0.925,0.6409999999999999,86.98899999999998,Heard,Like
Topanga,Trippie Redd,0.755,0.615,0.039,105.955,Heard,Dislike
A Guy With A Girl,Blake Shelton,0.552,0.893,0.777,163.94799999999995,Haven't Heard,Like
I Won't Let Go,Rascal Flatts,0.557,0.406,0.222,131.96,Heard,Like
Novacane,Frank Ocean,0.762,0.508,0.37,93.51,Heard,Like
We Dem Boyz,Wiz Khalifa,0.7170000000000001,0.862,0.52,130.02100000000002,Haven't Heard,Like
Lay Me Down,Sam Smith,0.46799999999999997,0.19,0.326,125.319,Heard,Like
Rope,Foo Fighters,0.511,0.728,0.541,138.179,Haven't Heard,Like
Holy Grail,Jay Z Featuring Justin Timberlake,0.675,0.534,0.156,145.08,Haven't Heard,Like
Motiv8,J. Cole,0.8690000000000001,0.385,0.596,149.89700000000005,Haven't Heard,Like
Camouflage,Brad Paisley,0.56,0.965,0.7709999999999999,113.633,Haven't Heard,Dislike
Tuesday,I LOVE MAKONNEN Featuring Drake,0.77,0.664,0.47200000000000003,140.16299999999998,Haven't Heard,Dislike
Today,Brad Paisley,0.34700000000000003,0.632,0.285,74.257,Haven't Heard,Like
MEGATRON,Nicki Minaj,0.893,0.6409999999999999,0.7709999999999999,94.01700000000001,Heard,Dislike
I Love You This Big,Scotty McCreery,0.521,0.647,0.326,83.963,Haven't Heard,Dislike
Stubborn Love,The Lumineers,0.598,0.56,0.221,115.01,Haven't Heard,Dislike
Kill A Word,Eric Church Featuring Rhiannon Giddens,0.6509999999999999,0.732,0.638,85.023,Heard,Like
The Lazy Song,Bruno Mars,0.738,0.804,0.9490000000000001,174.94299999999996,Haven't Heard,Dislike
Comin Out Strong,Future Featuring The Weeknd,0.628,0.48100000000000004,0.33,108.76100000000001,Haven't Heard,Like
Homegrown,Zac Brown Band,0.7120000000000001,0.8009999999999999,0.956,105.007,Haven't Heard,Like
My Chick Bad,Ludacris Featuring Nicki Minaj,0.624,0.723,0.757,84.789,Heard,Like
Bright,Echosmith,0.6459999999999999,0.431,0.292,90.03399999999998,Haven't Heard,Like
Didn't You Know How Much I Loved You,Kellie Pickler,0.524,0.7909999999999999,0.248,137.872,Heard,Like
Temporary Home,Carrie Underwood,0.41600000000000004,0.354,0.18100000000000002,80.767,Haven't Heard,Like
LoveHate Thing,Wale Featuring Sam Dew,0.736,0.691,0.18,99.954,Heard,Like
***Flawless,Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie,0.639,0.659,0.457,136.80100000000002,Haven't Heard,Like
No Complaints,Metro Boomin Featuring Offset & Drake,0.9129999999999999,0.498,0.217,123.975,Haven't Heard,Dislike
Change Locations,Drake & Future,0.7879999999999999,0.32799999999999996,0.213,137.85,Heard,Like
Let Me See Ya Girl,Cole Swindell,0.523,0.8340000000000001,0.445,92.99,Heard,Like
Every Time I Hear That Song,Blake Shelton,0.523,0.725,0.528,155.855,Heard,Dislike
Deja Vu,J. Cole,0.657,0.42100000000000004,0.18100000000000002,174.063,Haven't Heard,Like
Press,Cardi B,0.888,0.525,0.243,133.983,Heard,Like
Tell Me You Love Me,Demi Lovato,0.5379999999999999,0.6,0.26,81.888,Heard,Dislike
Try Me,The Weeknd,0.456,0.679,0.107,92.02600000000001,Haven't Heard,Like
Yours,Russell Dickerson,0.555,0.722,0.5589999999999999,134.058,Haven't Heard,Like
Ocean Eyes,Billie Eilish,0.511,0.363,0.16899999999999998,144.892,Haven't Heard,Dislike
I Was Jack (You Were Diane),Jake Owen,0.603,0.866,0.5429999999999999,94.057,Haven't Heard,Dislike
Give It All We Got Tonight,George Strait,0.5770000000000001,0.649,0.33899999999999997,130.313,Haven't Heard,Like
When We,Tank,0.635,0.324,0.0741,117.863,Haven't Heard,Dislike
"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,0.726,0.5539999999999999,0.335,169.99900000000005,Haven't Heard,Like
All The Right Moves,OneRepublic,0.529,0.948,0.65,146.024,Haven't Heard,Dislike
Know Yourself,Drake,0.733,0.41200000000000003,0.179,114.413,Haven't Heard,Like
Half Of My Heart,John Mayer,0.6809999999999999,0.593,0.731,115.05799999999999,Heard,Like
Bad Habits,Maxwell,0.6609999999999999,0.67,0.6609999999999999,148.02,Haven't Heard,Dislike
Turn The Night Up,Enrique Iglesias,0.78,0.74,0.214,128.002,Haven't Heard,Dislike
Talk That Talk,Rihanna Featuring Jay-Z,0.7340000000000001,0.7659999999999999,0.6,127.986,Heard,Like
1400 / 999 Freestyle,Trippie Redd Featuring Juice WRLD,0.825,0.5720000000000001,0.568,141.991,Haven't Heard,Like
Footloose,Blake Shelton,0.52,0.924,0.8440000000000001,173.98,Haven't Heard,Like
Loca,Shakira Featuring Dizzee Rascal,0.8,0.6920000000000001,0.917,112.00200000000001,Heard,Like
Never Enough,Loren Allred,0.27699999999999997,0.39399999999999996,0.22699999999999998,86.777,Haven't Heard,Dislike
Let Her Go,Passenger,0.479,0.545,0.244,74.89699999999998,Haven't Heard,Like
How Far I'll Go,Auli'i Cravalho,0.5710000000000001,0.307,0.10800000000000001,83.72,Haven't Heard,Dislike
Love Me Harder,Ariana Grande & The Weeknd,0.44799999999999995,0.71,0.273,104.024,Haven't Heard,Like
L$D,A$AP Rocky,0.598,0.252,0.0352,120.06,Haven't Heard,Like
Chanel (Go Get It),Young Thug Featuring Gunna & Lil Baby,0.938,0.5,0.462,140.011,Haven't Heard,Dislike
$ave Dat Money,Lil Dicky Featuring Fetty Wap & Rich Homie Quan,0.858,0.6970000000000001,0.364,98.012,Heard,Like
A Sky Full Of Stars,Coldplay,0.551,0.636,0.153,124.99600000000001,Haven't Heard,Like
Bad And Boujee,Migos Featuring Lil Uzi Vert,0.927,0.665,0.175,127.07600000000001,Heard,Like
On Fire,Lil Wayne,0.626,0.866,0.545,132.031,Heard,Dislike
Subeme La Radio,"Enrique Iglesias Featuring Descemer Bueno, Zion & Lennox Or Sean Paul",0.684,0.823,0.647,91.04799999999999,Haven't Heard,Dislike
Part Of Me,Katy Perry,0.6779999999999999,0.9179999999999999,0.769,130.028,Haven't Heard,Like
American Saturday Night,Brad Paisley,0.48700000000000004,0.938,0.733,157.795,Haven't Heard,Dislike
I'm Ready,AJR,0.628,0.867,0.597,78.043,Haven't Heard,Like
Gangsta,Kehlani,0.439,0.447,0.11,121.48,Haven't Heard,Dislike
Play It Again,Luke Bryan,0.506,0.8859999999999999,0.595,143.935,Haven't Heard,Like
American Girl,Bonnie McKee,0.66,0.816,0.66,127.97,Haven't Heard,Dislike
Family Man,Craig Campbell,0.5539999999999999,0.621,0.151,155.817,Haven't Heard,Like
Blem,Drake,0.726,0.535,0.375,98.06700000000001,Haven't Heard,Like
Brand New,Ben Rector,0.555,0.9329999999999999,0.42100000000000004,144.874,Heard,Like
Raging Fire,Phillip Phillips,0.557,0.833,0.449,125.90899999999999,Heard,Like
Die For Me,Post Malone Featuring Future & Halsey,0.614,0.66,0.452,145.01,Haven't Heard,Dislike
Hide Away,Daya,0.885,0.8009999999999999,0.466,95.01100000000001,Haven't Heard,Like
Mask Off,Future,0.833,0.434,0.281,150.062,Haven't Heard,Dislike
A Woman Like You,Lee Brice,0.5920000000000001,0.584,0.371,160.048,Heard,Dislike
Fix,Chris Lane,0.532,0.883,0.7,99.995,Haven't Heard,Like
Mr. Saxobeat,Alexandra Stan,0.72,0.925,0.7809999999999999,127.00399999999999,Haven't Heard,Like
Keep Them Kisses Comin',Craig Campbell,0.7040000000000001,0.767,0.889,120.035,Haven't Heard,Like
Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,0.8340000000000001,0.3720000000000001,0.976,96.62799999999999,Heard,Like
Memories,David Guetta Featuring Kid Cudi,0.544,0.87,0.502,129.984,Heard,Like
Watermelon Sugar,Harry Styles,0.5479999999999999,0.816,0.557,95.39,Haven't Heard,Dislike
If It Ain't Love,Jason Derulo,0.503,0.843,0.778,128.63,Haven't Heard,Like
Money To Blow,Birdman Featuring Lil Wayne & Drake,0.708,0.578,0.696,133.03,Haven't Heard,Like
Rude,MAGIC!,0.774,0.7559999999999999,0.9309999999999999,144.032,Haven't Heard,Like
Call On Me,Starley,0.67,0.838,0.7170000000000001,104.99799999999999,Haven't Heard,Like
Cheerleader,OMI,0.78,0.68,0.594,118.02600000000001,Haven't Heard,Dislike
The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,0.703,0.757,0.696,82.008,Heard,Like
Lego House,Ed Sheeran,0.5920000000000001,0.637,0.565,159.701,Haven't Heard,Like
Runaway,Kanye West Featuring Pusha T,0.5710000000000001,0.568,0.109,86.986,Haven't Heard,Like
Hillbilly Bone,Blake Shelton Featuring Trace Adkins,0.603,0.946,0.912,144.019,Haven't Heard,Dislike
OOOUUU,Young M.A,0.635,0.847,0.568,166.072,Heard,Like
That's My Girl,Fifth Harmony,0.596,0.851,0.612,202.049,Haven't Heard,Like
Downtown,"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",0.828,0.609,0.7070000000000001,109.725,Heard,Like
