ID,REGION,DIVISION,STATE,LOG FAMILY INCOME DOLLARS,HOUSEHOLD LANGUAGE,LOG HOUSEHOLD INCOME DOLLARS,LIMITED ENGLISH SPEAKING,WORKERS IN FAMILY,PERSONS IN FAMILY
2013001270890,South,South Atlantic,51,Non-Family,English only,12.52,False,Non-Family,Non-Family
2013001453308,South,South Atlantic,51,12.31,Other Indo-European,12.31,False,3+,3
2009000446850,West,Pacific,53,12.06,English only,12.06,False,2,2
2010000224205,West,Pacific,53,11.34,English only,11.34,False,0,2
2010000268641,West,Pacific,53,12.56,English only,12.56,False,2,3
2010000342033,West,Pacific,53,11.17,English only,11.17,False,2,2
2010000441453,West,Pacific,53,Non-Family,English only,11.83,False,Non-Family,Non-Family
2010000698442,West,Pacific,53,Non-Family,English only,12.62,False,Non-Family,Non-Family
2010000862833,West,Pacific,53,9.68,Asian and Pacific Island,9.68,True,1,3
2010000994143,West,Pacific,53,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2011000097033,West,Pacific,53,12.56,English only,12.56,False,3+,4
2011001281236,West,Pacific,53,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2011001440808,West,Pacific,53,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2011001486266,West,Pacific,53,Non-Family,English only,11.7,False,Non-Family,Non-Family
2012001310812,West,Pacific,53,11.78,English only,11.78,False,2,2
2013000051445,West,Pacific,53,Non-Family,English only,12.97,False,Non-Family,Non-Family
2013000096608,West,Pacific,53,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2013000437272,West,Pacific,53,Non-Family,English only,10.06,False,Non-Family,Non-Family
2013001098161,West,Pacific,53,11.07,English only,11.07,False,3+,6
2010000917164,South,South Atlantic,54,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2010001409091,South,South Atlantic,54,11.67,English only,11.67,False,2,2
2011000046521,South,South Atlantic,54,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2011000925169,South,South Atlantic,54,Non-Family,English only,10.1,False,Non-Family,Non-Family
2011001441269,South,South Atlantic,54,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2012000104934,South,South Atlantic,54,Non-Family,English only,10.17,False,Non-Family,Non-Family
2012001101795,South,South Atlantic,54,Non-Family,English only,10.17,False,Non-Family,Non-Family
2013000093699,South,South Atlantic,54,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2013000201180,South,South Atlantic,54,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2013000697910,South,South Atlantic,54,11.24,English only,11.24,False,3+,5
2013000980693,South,South Atlantic,54,11.08,English only,11.08,False,1,2
2009000589552,Midwest,East North Central,55,Non-Family,English only,10.2,False,Non-Family,Non-Family
2009000602150,Midwest,East North Central,55,12.17,English only,12.17,False,3+,4
2009000988193,Midwest,East North Central,55,11.18,English only,11.18,False,3+,4
2009001331940,Midwest,East North Central,55,Non-Family,English only,10.75,False,Non-Family,Non-Family
2010000860807,Midwest,East North Central,55,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2010001063636,Midwest,East North Central,55,12.13,English only,12.13,False,1,2
2010001226782,Midwest,East North Central,55,Non-Family,English only,11.29,False,Non-Family,Non-Family
2010001356929,Midwest,East North Central,55,9.92,English only,9.92,False,1,10
2011000038534,Midwest,East North Central,55,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2011000603415,Midwest,East North Central,55,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2011000911397,Midwest,East North Central,55,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2011001085634,Midwest,East North Central,55,12.6,English only,12.6,False,1,2
2012000600000,Midwest,East North Central,55,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2012000742174,Midwest,East North Central,55,11.69,English only,11.69,False,2,3
2013000191623,Midwest,East North Central,55,11.4,English only,11.4,False,2,2
2013000411990,Midwest,East North Central,55,Non-Family,English only,10.7,False,Non-Family,Non-Family
2013000600530,Midwest,East North Central,55,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2013000941749,Midwest,East North Central,55,Non-Family,English only,9.57,False,Non-Family,Non-Family
2013000993455,Midwest,East North Central,55,11.27,English only,11.27,False,2,2
2013001026714,Midwest,East North Central,55,11.18,English only,11.18,False,2,4
2013001122795,Midwest,East North Central,55,10.88,English only,10.88,False,0,2
2013001143618,Midwest,East North Central,55,11.11,English only,11.11,False,0,2
2013001281765,Midwest,East North Central,55,Non-Family,English only,9.39,False,Non-Family,Non-Family
2009000032214,West,Mountain,56,Non-Family,English only,10.99,False,Non-Family,Non-Family
2010001063727,West,Mountain,56,11.99,English only,11.99,False,0,2
2013001082476,West,Mountain,56,11.6,English only,11.6,False,1,4
